,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
83,688.43,5.5,351.69,1.89,0.4987,0.0054,0.1356,0.2142,0.0048,119.73,1.25,225.03,3.4,119.71,1.24,223.96,3.39
84,689.57,5.52,351.18,1.89,0.4988,0.0054,0.1376,0.2182,0.0048,119.34,1.25,225.73,3.41,119.05,1.24,225.45,3.4
85,690.4,5.57,350.64,1.89,0.4985,0.0054,0.1408,0.2206,0.005,118.57,1.26,226.59,3.44,118.81,1.25,226.43,3.43
86,692.4,5.62,349.97,1.89,0.4989,0.0055,0.1428,0.2242,0.0052,117.73,1.25,228.75,3.47,118.09,1.25,227.83,3.45
87,694.6,5.68,350.41,1.89,0.4984,0.0055,0.146,0.2272,0.0058,117.6,1.25,229.43,3.5,118.08,1.25,229.49,3.49
88,695.88,5.72,349.86,1.9,0.4995,0.0055,0.1488,0.2302,0.0064,117.25,1.26,230.84,3.52,117.28,1.25,230.51,3.51
89,697.4,5.76,349.73,1.9,0.4991,0.0055,0.1498,0.2324,0.0066,116.9,1.26,231.97,3.55,116.94,1.25,231.59,3.54
90,699.54,5.78,350.39,1.91,0.4986,0.0055,0.1522,0.2364,0.0066,116.94,1.27,233.19,3.57,117.07,1.26,232.35,3.55
91,701.73,5.84,350.12,1.9,0.499,0.0055,0.1546,0.2384,0.007,116.28,1.27,234.86,3.6,116.64,1.26,233.95,3.58
92,703.85,5.88,350.29,1.9,0.4991,0.0056,0.1578,0.2406,0.0072,116.19,1.27,235.67,3.62,116.24,1.26,235.75,3.62
93,707.18,5.94,350.68,1.9,0.5001,0.0056,0.1604,0.2432,0.0078,115.82,1.28,237.64,3.66,116.03,1.27,237.69,3.65
94,708.57,5.97,350.64,1.9,0.5004,0.0056,0.1632,0.2458,0.0082,115.65,1.28,238.88,3.69,115.68,1.27,238.36,3.67
95,709.87,6.01,350.41,1.91,0.5006,0.0056,0.1662,0.2482,0.0082,115.22,1.29,240.06,3.71,115.38,1.28,239.22,3.69
96,711.35,6.02,350.44,1.9,0.5,0.0056,0.168,0.2512,0.0084,115.01,1.28,240.63,3.72,115.13,1.28,240.58,3.72
97,713.14,6.05,350.49,1.89,0.5002,0.0057,0.17,0.2524,0.0088,114.79,1.28,241.7,3.73,114.82,1.28,241.83,3.74
98,715.66,6.11,350.43,1.89,0.5007,0.0057,0.1744,0.2544,0.0092,114.39,1.28,243.7,3.77,114.29,1.28,243.27,3.76
99,715.82,6.13,349.46,1.88,0.5005,0.0057,0.1764,0.2576,0.0092,113.59,1.28,244.43,3.79,113.75,1.28,244.04,3.77
100,718.45,6.18,350.23,1.9,0.5002,0.0057,0.1798,0.2608,0.0094,113.92,1.3,245.52,3.82,113.57,1.28,245.44,3.81
101,718.34,6.19,349.34,1.9,0.5,0.0057,0.1828,0.2636,0.0096,112.87,1.29,245.97,3.82,113.47,1.29,246.03,3.82
102,721.23,6.26,348.93,1.89,0.5011,0.0057,0.1868,0.2648,0.0102,112.44,1.29,248.59,3.87,112.39,1.28,247.81,3.85
103,721.44,6.28,348.52,1.89,0.5005,0.0058,0.19,0.2666,0.0102,111.77,1.29,248.89,3.88,112.44,1.29,248.34,3.87
104,723.29,6.32,348.87,1.9,0.5004,0.0058,0.1918,0.2692,0.0108,112.07,1.29,249.43,3.89,112.0,1.29,249.8,3.89
105,723.81,6.34,348.53,1.91,0.5005,0.0058,0.1942,0.2712,0.0116,111.79,1.3,250.49,3.91,111.64,1.29,249.9,3.89
106,724.57,6.38,347.5,1.89,0.501,0.0058,0.1968,0.2728,0.0122,110.65,1.29,251.47,3.92,111.16,1.29,251.29,3.92
